SLPM-66675                       21949                1695615052          
SLPM-65688                       4470                 1689789958          
SLUS-21004                       8988                 1695751665          
SLUS-20998                       8370                 1693091073          
20080220-175343                  318                  1696202767          
SLUS-21050                       6436                 1695702900          
SLUS-21083                       34659                1702493317          
SLUS-21067                       1165                 1691030815          
SLPM-66750                       2009                 1698986299          
SLES-55605                       15279                1704086599          
SLUS-20718                       839                  1691038748          
SLUS-21678                       12229                1695742573          
SLES-55676                       12739                1702491683          
SLUS-20765                       70                   1691106086          
SLUS-20776                       495                  1691170552          
SLUS-21361                       5856                 1695739049          
SCPS-15119                       6851                 1695614902          
SLUS-20787                       14615                1693094428          
SLPM-66280                       14627                1698603313          
SLUS-20911                       190979               1696203377          
SLPM-55184                       1282                 1691379643          
SCES-50294                       1678                 1695617260          
SLUS-21207                       116                  1691347401          
SLUS-21065                       3684                 1702492280          
SCUS-97328                       1289                 1695672300          
SLUS-21087                       6658                 1691632330          
SLUS-21240                       2575                 1691628895          
SLUS-21597                       657                  1691644356          
SLUS-21503                       8451                 1691643708          
SLUS-21355                       26067                1695614692          
SLUS-21543                       5564                 1694050174          
SLES-51399                       802                  1693410640          
SLUS-21008                       1324                 1693864608          
SCES-53202                       16146                1702494923          
SLUS-20066                       1016                 1695612853          
SLUS-21661                       8184                 1694040905          
SLUS-21879                       829                  1694042910          
SLUS-21672                       498                  1695672801          
SLUS-20915                       2184                 1695674998          
SLUS-21376                       602                  1695681181          
SLUS-20883                       1537                 1695749733          
SLUS-21978                       44564                1704085659          
SLUS-21134                       3142                 1695925633          
SLUS-20230                       145                  1696032733          
SLUS-21359                       3441                 1698352953          
SLUS-21243                       291                  1696203075          
SLUS-20666                       2002                 1698605375          
